,PlayerName,Last30,Last7
559,Ryderstedt M.,0,0
560,Nielsen M.,0,0
561,Bourgeois L.,0,0
562,Kimmich M.,0,0
563,Nunez E.,0,0
564,Sun P.,0,0
565,Vico U.,0,0
566,Parada F.,0,0
567,Wang Y.T.,0,0
568,Dailey Z.,0,0
569,Minar J.,0,0
570,Tecau H.,0,0
571,Evans B.,0,0
572,Berrer M.,0,0
573,Machado R.,0,0
574,Sela D.,0,0
575,Dlouhy L.,0,0
576,Murray A.,0,0
577,Klein T.,0,0
578,Goodall J.,0,0
579,Sherwood D.,0,0
580,Summerer T.,0,0
581,Oudsema S.,0,0
582,Wilson B.,0,0
583,Mergea F.,0,0
584,Korteling S.,0,0
585,Lu Y.,0,0
586,Brzezicki J.P.,0,0
587,Thron A.,0,0
588,Bozoljac I.,0,0
589,Fyrstenberg M.,0,0
590,Chadaj A.,0,0
591,Smeets R.,0,0
592,Clayton A.,0,0
593,Bester P.,0,0
594,Young D.,0,0
595,Gregorc L.,0,0
596,Matsui T.,0,0
597,Wang Y. Jr,0,0
598,Gremelmayr D.,0,0
599,Chen T.,0,0
600,Do M.Q.,0,0
601,Greul S.,0,0
602,Naso G.,0,0
603,Sanchez de Luna J.A.,0,0
604,Fognini F.,0,0
605,Ittogi T.,0,0
606,Soeda G.,0,0
607,Ledovskikh M.,0,0
608,Davletshin V.,0,0
609,Junaid R.,0,0
610,King-Turner D.,0,0
611,Berlocq C.,0,0
612,Snobel P.,0,0
613,Faurel J.C.,0,0
614,Del Potro J.M.,0,0
615,Aguilar J.,0,0
616,Cuadrado C.,0,0
617,Cilic M.,3,0
618,Korolev E.,0,0
619,Querry S.,0,0
620,Rettenmaier T.,0,0
621,Warburg S.,0,0
622,Ghem A.,0,0
623,Van der Dium A.,0,0
624,Gallardo Valles M.,0,0
625,Kuznetsov A.,0,0
626,Burniol G.,0,0
627,Balleret B.,0,0
628,Klec I.,0,0
629,Salva B.,0,0
630,Ouahab L.,0,0
631,Peric T.,0,0
632,Gil F.,0,0
633,Chela J.,0,0
634,Popp T.,0,0
635,Hartfield D.,0,0
636,Chardy J.,0,0
637,Montcourt M.,0,0
638,Baker J.,0,0
639,Haase R.,0,0
640,Qureshi A.,0,0
641,Zverev M.,0,0
642,Becker B.,0,0
643,Al Ghareeb M.,0,0
644,Kutac R.,0,0
645,Whitehouse W.,0,0
646,Sijsling I.,0,0
647,Darcis S.,0,0
648,De Bakker T.,0,0
649,Gonzalez S.,0,0
650,Querrey S.,0,0
651,Rieschick S.,0,0
652,Junqueira D.,0,0
653,Patriarca D.,0,0
654,Sandbichler A.,0,0
655,Azzaro L.,0,0
656,Haider-Mauer A.,0,0
657,Cipolla F.,0,0
658,Ianni S.,0,0
659,Sweeting R.,0,0
660,Stoppini A.,0,0
661,Polansky P.,0,0
662,Hajek J.,0,0
663,Simmonds P.,0,0
664,Dolgopolov A.,0,0
665,Crivoi V.,0,0
666,Economidis K.,0,0
667, Hajek J.,0,0
668,Clemens T.,0,0
669,Chaen T.,0,0
670,Troicki V.,0,0
671,Istomin D.,0,0
672,Fish A.,0,0
673,Eitzinger R.,0,0
674,Reister J.,0,0
675,Gulbis E.,0,0
676,Robredo R.,0,0
677,Jun W.,0,0
678,Levine J.,0,0
679,Schwank E.,0,0
680,Huta Galung J.,0,0
681,Witten J.,0,0
682,Bolelli S.,0,0
683,Andujar P.,0,0
684,Gensse A.,0,0
