Elo1,Elo2,WinAmount1,WinAmount2,LastMatches30_1,LastMatches30_2,PlayerOdds1,PlayerOdds2,Winner1,Winner2
1639.9880395306936,1785.205219834386,5,2,0,0,0.0,0.0,1,0
1551.231676702194,1482.5696683054657,1,3,0,0,0.0,0.0,0,1
1534.361411798659,1490.475330066826,4,2,0,0,0.0,0.0,1,0
1720.0973788699766,1479.8445941594684,4,0,0,0,0.0,0.0,1,0
1542.4449049909567,1553.7274291736203,0,2,0,0,0.0,0.0,0,1
1731.065441989184,1447.6684225453057,2,3,0,0,0.0,0.0,0,1
1483.1115951265292,1535.9686604789588,0,2,0,0,0.0,0.0,0,1
1652.7890135730954,1486.0929546291345,6,0,0,0,0.0,0.0,1,0
1574.0567051893545,1480.3394032547346,0,3,3,1,0.4799236628019313,0.5428968950488057,0,1
1436.814545129178,1326.7931726859292,0,1,0,0,0.0,0.0,0,1
